method,method_label,depth,target_age,n,accuracy,mean_answer_ce,mean_teacher_answer_ce,mean_ce_gap_to_full,mean_kl_to_full,source_tokens,represented_source_tokens,memory_positions,source_tokens_per_position,mean_compaction_ms_per_chunk
single_step,Single-step Still,4,newest,2,1.0,0.5698675662279129,0.003072866180445999,0.5667947000474669,0.55475814640522,256,256,64,4.0,53.029814502224326
single_step,Single-step Still,8,overall,8,1.0,0.11182226415257901,0.001306233849390992,0.11051603030318802,0.10953428875654936,512,512,64,8.0,52.70321808347944
single_step,Single-step Still,8,oldest,4,1.0,0.16984346858225763,0.0012097351245756727,0.16863373345768196,0.16723880637437105,512,512,64,8.0,52.43719759164378
single_step,Single-step Still,8,middle,2,1.0,0.03567090630531311,0.002127824816852808,0.0335430814884603,0.033459967002272606,512,512,64,8.0,53.69289856753312
single_step,Single-step Still,8,newest,2,1.0,0.07193121314048767,0.0006776403315598145,0.07125357280892786,0.07019957527518272,512,512,64,8.0,52.245578583097085
single_step,Single-step Still,16,overall,8,0.875,0.23225025930150878,0.0009807578535401262,0.23126950144796865,0.23049034149153158,1024,1024,64,16.0,52.765410822757985
single_step,Single-step Still,16,oldest,4,1.0,0.046994486066978425,0.0009454071841901168,0.04604907888278831,0.045929254963994026,1024,1024,64,16.0,53.7412405537907
single_step,Single-step Still,16,middle,2,1.0,0.19134733825922012,0.0016924092778936028,0.18965492898132652,0.18749328469857574,1024,1024,64,16.0,51.83799934457056
single_step,Single-step Still,16,newest,2,0.5,0.6436647268128581,0.00033980776788666844,0.6433249190449715,0.6426095713395625,1024,1024,64,16.0,51.74116283887997
single_step,Single-step Still,32,overall,8,0.875,0.2540894977282733,0.0007293547423614655,0.2533601429859118,0.25321700354106724,2048,2048,64,32.0,51.50555269938195
single_step,Single-step Still,32,oldest,4,1.0,0.19975732127204537,0.001097138607292436,0.19866018266475294,0.19842914957553148,2048,2048,64,32.0,51.36402242715121
single_step,Single-step Still,32,middle,2,1.0,0.023355958051979542,0.0002143749297829345,0.023141583122196607,0.022857697680592537,2048,2048,64,32.0,51.74676713795634
single_step,Single-step Still,32,newest,2,0.5,0.5934873903170228,0.0005087668250780553,0.5929786234919447,0.5931520173326135,2048,2048,64,32.0,51.54739880526904
single_step,Single-step Still,100,overall,8,1.0,0.3342080113943666,0.0035880308569176123,0.330619980537449,0.33279282349394634,6400,6400,64,100.0,51.76847686234396
single_step,Single-step Still,100,oldest,4,1.0,0.40450189681723714,0.004773684573592618,0.3997282122436445,0.4000915619544685,6400,6400,64,100.0,51.5831376647111
single_step,Single-step Still,100,middle,2,1.0,0.012918112799525261,0.0011892375187017024,0.011728875280823559,0.012794694164767861,6400,6400,64,100.0,51.774930448736995
single_step,Single-step Still,100,newest,2,1.0,0.514910139143467,0.0036155167617835104,0.5112946223816834,0.5181934759020805,6400,6400,64,100.0,52.13270167121664
recurrent,Recurrent Still,1,overall,8,1.0,0.00026585965565573133,0.0005724170550820418,-0.00030655739942631044,0.003370677681232337,64,64,64,1.0,51.38591420836747
recurrent,Recurrent Still,1,oldest,4,1.0,4.8039326827620243e-05,0.0007383082847809419,-0.0006902689579533217,0.0038129579625092447,64,64,64,1.0,55.02127227373421
recurrent,Recurrent Still,1,middle,2,1.0,0.0009264727103754922,0.0005141233268659562,0.000412349383509536,0.0040999752236530185,64,64,64,1.0,48.21523302234709
recurrent,Recurrent Still,1,newest,2,1.0,4.0887258592192666e-05,0.0002989283239003271,-0.0002580410653081344,0.0017568195762578398,64,64,64,1.0,47.28587926365435
recurrent,Recurrent Still,2,overall,8,1.0,0.030668698193039745,0.0004032835531688761,0.03026541463987087,0.02984717453364283,128,128,64,2.0,50.90722726890817
recurrent,Recurrent Still,2,oldest,4,1.0,0.033261537086218596,0.0005173437893972732,0.03274419329682132,0.03213462233543396,128,128,64,2.0,50.89149437844753
recurrent,Recurrent Still,2,middle,2,1.0,0.02281172713264823,0.000235814386542188,0.02257591274610604,0.022419854532927275,128,128,64,2.0,50.77203316614032
